2.144331199999987803e+01,3.722593499999993583e+01,5.382633199999963836e+01,7.314026369999965027e+01,9.049312430000009044e+01,1.042586391999993793e+02,1.320358651000005921e+02,1.465940738000008423e+02,1.505397176000005857e+02,1.670438107999998465e+02
2.162761670000008962e+01,3.934171379999997953e+01,5.763723130000016681e+01,7.817692940000006274e+01,9.803781359999993583e+01,1.150906005999995614e+02,1.364443785000003118e+02,1.529036087999993470e+02,1.619836496999996598e+02,1.809904628999993292e+02
2.285986940000020695e+01,4.116907870000022740e+01,6.033263610000039989e+01,8.154079449999971985e+01,1.001822577000002639e+02,1.239240009000004648e+02,1.397254167000010057e+02,1.671533106999995653e+02,1.700647886999995535e+02,1.878384479999986070e+02
2.326311380000015561e+01,4.522524780000003375e+01,7.594643399999995381e+01,1.014597727000000305e+02,1.325977610999998433e+02,1.549080425000001924e+02,1.861941585999993549e+02,2.021503730000003998e+02,2.162126808999983041e+02,2.224560900000014954e+02
2.452855599999975311e+01,4.939842130000033649e+01,8.029302450000022873e+01,1.097280291999995825e+02,1.442167379000002256e+02,1.671362372000003234e+02,1.895836854999997740e+02,2.110635409999995318e+02,2.320052980000000389e+02,2.508606421000004048e+02
2.457117819999984931e+01,4.781250709999994797e+01,7.936443230000031690e+01,1.175471375000006446e+02,1.459021304999996573e+02,1.728361543000000893e+02,1.935445399000000180e+02,2.152817922999984148e+02,2.433135476000006747e+02,2.593031867999998212e+02
2.678427970000029745e+01,5.458924070000011852e+01,9.502770640000017011e+01,1.514186423999999533e+02,1.769587676000001011e+02,2.076725080999995043e+02,2.484249182999992627e+02,2.529959249000003183e+02,3.026372264999990875e+02,3.025264477000000625e+02
2.716768040000033579e+01,5.394535669999959282e+01,1.015350885999996535e+02,1.398354521000001114e+02,1.786501115999999456e+02,2.110327788000004148e+02,2.381992382999997062e+02,2.681872982999993837e+02,2.790008878999997251e+02,3.028267249999989872e+02
2.967731810000032056e+01,7.289766060000010839e+01,1.203458445999999640e+02,1.625452096999997593e+02,2.191658825000004072e+02,2.525587054000006901e+02,2.910272106000011263e+02,3.073878519999998389e+02,3.627094250000009197e+02,3.768066228999996383e+02
3.171174430000019129e+01,6.079799599999978454e+01,9.668070119999993040e+01,1.356830341000004410e+02,1.817184082999992825e+02,1.933139209000000847e+02,2.501923905999992712e+02,2.534722824999989825e+02,2.960805378999993991e+02,3.126858202999974310e+02
