actual,predicted
0.0,-0.4129003
0.0,-0.44562563
0.0,-0.4739392
0.0,-0.5024296
0.0,-0.54017437
0.0,-0.5715517
0.0,-0.60054934
0.0,-0.625208
0.0,-0.6405806
0.0,-0.55365646
-4.743146468123849e-18,-0.4007976
5.1672482575850393e-17,-0.28651488
-2.1286929300095537e-16,-0.24396831
3.3013886249454526e-16,-0.22982411
1.9549571425885525e-16,-0.21720068
-9.54804289529305e-16,-0.20316792
-4.474288398094865e-16,-0.18863586
1.8094499603028203e-15,-0.18378802
2.8644091220477087e-15,-0.2089497
2.267640919792996e-15,-0.2129772
-7.522454663800193e-17,-0.20418699
3.4032356355598933e-15,-0.20241971
-1.6399960065104375e-15,-0.21232268
-4.7835408946013115e-15,-0.22419176
1.9865913596285013e-15,-0.22500001
7.364351070559899e-15,-0.21852766
1.9958834390372507e-14,-0.19896203
2.4228634724850063e-14,-0.18188632
2.1226142633108642e-14,-0.19181237
1.427199790742467e-14,-0.21547803
7.540442798085306e-15,-0.22969756
3.4641869203548235e-15,-0.23485324
2.2321861685464544e-15,-0.24074051
2.7449070773327157e-15,-0.24302787
3.0521148956578833e-15,-0.2404031
1.6246471152968543e-15,-0.24569352
-6.196055297159681e-16,-0.26240212
-3.224637358149557e-16,-0.27823305
1.516311952251758e-15,-0.28992862
4.441928865057717e-15,-0.29435885
1.1263049478735141e-14,-0.29768744
1.9864958238904067e-14,-0.29291552
2.7969964045949958e-14,-0.28016293
1.9011498865907973e-14,-0.2708875
7.273461736349207e-15,-0.26036876
7.673571511692845e-15,-0.23775691
8.038944205126102e-16,-0.21560037
1.961380223530203e-15,-0.21535571
2.6771539517192385e-15,-0.22989254
-1.0813072479082429e-17,-0.23588364
3.822256123663276e-15,-0.22786489
5.983695949206072e-15,-0.22456929
8.566559596801512e-15,-0.22456327
8.766856019910685e-15,-0.2159493
4.015023916096797e-15,-0.19801505
2.5485647497252225e-15,-0.17308295
2.8497093033711285e-15,-0.15132034
4.436184505560236e-15,-0.13331467
8.008393480361097e-15,-0.1195415
6.238383465110224e-15,-0.11872641
3.730042385574815e-15,-0.11742152
4.814096597913583e-15,-0.112514354
7.376447580407682e-15,-0.111293204
5.631816647219462e-15,-0.11802952
2.100582799203054e-15,-0.12413462
3.611571869763862e-15,-0.12976293
9.10575364059504e-15,-0.13061598
7.798537072113472e-15,-0.12951234
7.378747442578688e-15,-0.12809397
9.159051028727324e-15,-0.13012537
-9.0513848631563e-16,-0.12975316
4.6050409843258365e-15,-0.124371335
9.09426129489074e-15,-0.11981808
1.65790291605959e-14,-0.12045895
1.8055392922765835e-14,-0.11878833
2.428624803122606e-14,-0.106415145
1.959922710642162e-14,-0.09438815
1.8523083132126603e-14,-0.08943209
1.4028795620820334e-14,-0.09721361
2.596312952377128e-14,-0.11290938
2.1814711997736718e-14,-0.11647904
1.835359762277468e-14,-0.11076974
1.5049023046309665e-14,-0.10088596
1.8372227842079763e-14,-0.10187652
2.0873555782857776e-14,-0.10941465
7.8319067842752e-15,-0.12338953
1.6362852287246492e-14,-0.13366929
2.427996952829826e-14,-0.13549647
4.977685140060807e-14,-0.12751338
4.758936469607743e-14,-0.12915847
5.708914784933384e-14,-0.13523395
6.719217293836836e-14,-0.14427261
6.891053131381505e-14,-0.14610696
6.240688408974396e-14,-0.14923298
4.851867936753737e-14,-0.14842272
7.315736379484291e-14,-0.14093487
9.434362838302299e-14,-0.12935749
1.1202821595800778e-13,-0.12465465
9.402413749164326e-14,-0.12932552
1.0588454995025746e-13,-0.20886956
1.2149133912639143e-13,-0.32972008
1.2827526502351613e-13,-0.35293853
1.4673285749543984e-13,-0.298449
1.2721713749787028e-13,-0.24324189
1.291005780189463e-13,-0.23928015
1.5525892410119104e-13,-0.2716883
1.5707593404748686e-13,-0.30094066
1.6638743105596283e-13,-0.3154129
1.736766511567982e-13,-0.3235673
1.6133461155414352e-13,-0.27951056
1.8485954782140034e-13,-0.28362364
2.073752703051909e-13,-0.2907777
1.9730039308609772e-13,-0.29615927
1.8399198220173232e-13,-0.30056992
1.730580816689008e-13,-0.29647845
1.6584190122039803e-13,-0.28469494
2.322927505557573e-13,-0.28220862
2.50277532216895e-13,-0.28351521
2.2360384172058542e-13,-0.28678787
1.7506746220170335e-13,-0.2905232
1.4283891430738326e-13,-0.29145047
1.54861940241538e-13,-0.29056552
1.5393461052842412e-13,-0.28855973
1.5094497900729895e-13,-0.27736977
1.5120753642995058e-13,-0.263446
1.9697954890898773e-13,-0.25827855
2.301047779061984e-13,-0.2575466
1.9497610985879897e-13,-0.2630043
1.5112982076371572e-13,-0.27016148
1.5266217796218968e-13,-0.25666058
1.5531268392230845e-13,-0.23053114
1.9950840716474908e-13,-0.19963716
2.1068081297067928e-13,-0.17848393
1.7668783652196787e-13,-0.17227945
1.7640338906302673e-13,-0.1796264
1.592379245417349e-13,-0.19569042
1.1656753476158533e-13,-0.21387082
1.6289096477615747e-13,-0.22079036
1.8281190998646981e-13,-0.21240483
1.8356772900166604e-13,-0.2028038
1.9103062771868072e-13,-0.1935614
1.778144087028277e-13,-0.19141054
2.0046629351806483e-13,-0.18673798
1.6129836838231466e-13,-0.18287705
1.3204325525032024e-13,-0.17500308
1.6586180556614067e-13,-0.17224517
1.8705340440788338e-13,-0.17690565
1.7445384701219614e-13,-0.17941391
1.5651498930477277e-13,-0.17946823
2.1819363127896097e-13,-0.18256775
2.4924444710952443e-13,-0.1831472
2.784503993810198e-13,-0.18073025
2.5236183079680054e-13,-0.17578143
2.375834565269167e-13,-0.17413802
2.1116085737867423e-13,-0.17202863
1.873950301002658e-13,-0.16573332
1.3936124954967449e-13,-0.16408569
1.5219223919153547e-13,-0.16619995
1.6864326917471637e-13,-0.16984822
2.1351717411031794e-13,-0.17520131
2.1570273293590805e-13,-0.17883083
1.9561567141729334e-13,-0.18753445
1.9275108376913393e-13,-0.1910677
2.069417075008407e-13,-0.192795
2.0618363141368918e-13,-0.18958855
2.0171909506066996e-13,-0.18771788
2.375804633211017e-13,-0.18385407
1.9088466735650148e-13,-0.17290004
1.6418809460801527e-13,-0.16884013
1.5412815810126817e-13,-0.17409596
1.412248169266854e-13,-0.17782341
1.2100554856812854e-13,-0.18624309
1.2667226135004466e-13,-0.18777278
1.7712851590537747e-13,-0.18264988
1.8499967212043402e-13,-0.18439125
1.8522053275393986e-13,-0.19049944
1.6991533902531805e-13,-0.19268632
1.3082116563142318e-13,-0.18794478
1.2804805000426114e-13,-0.18568783
1.1002940218553244e-13,-0.18950783
1.2623546580071114e-13,-0.20446533
1.4062091364459131e-13,-0.19894576
1.1479055039645529e-13,-0.17840955
1.0862132744690163e-13,-0.16361617
1.2355139038188166e-13,-0.16451988
1.1395130576345072e-13,-0.16915329
8.424290293426397e-14,-0.17506903
7.481227172728716e-14,-0.17738155
1.0546220502278928e-13,-0.17258708
1.3403820840558451e-13,-0.15791228
1.097754757122914e-13,-0.1545122
5.188799789163401e-14,-0.15847297
6.500950968522815e-14,-0.16301146
8.014646152238199e-14,-0.16708554
8.996079560405878e-14,-0.17083986
8.222982330722117e-14,-0.16740525
1.0618424862062935e-13,-0.1682576
1.1808150947923084e-13,-0.16098976
1.0097111197474004e-13,-0.1563896
5.658934919281871e-14,-0.16517714
6.086926689265524e-14,-0.17516324
7.540916995027469e-14,-0.17199251
9.124295982093924e-14,-0.16765383
8.507221137181849e-14,-0.185667
9.99595957907105e-14,-0.2075975
9.996362977260177e-14,-0.21971576
8.76752750169561e-14,-0.22375597
5.901679052967753e-14,-0.22670293
7.881735756640376e-14,-0.23095201
1.0339533495078135e-13,-0.22974542
8.0251772991565e-14,-0.21135882
3.496707458257702e-14,-0.18996036
5.5852316370623435e-14,-0.18595746
9.059656113027787e-14,-0.19360127
6.815820373183585e-14,-0.19604883
4.2084866004002696e-14,-0.19667183
5.007946760417439e-14,-0.196899
7.951862216699666e-14,-0.19416545
1.0446595688510116e-13,-0.19269061
9.794404551732517e-14,-0.19679993
8.039148360097545e-14,-0.19267944
9.146950746508936e-14,-0.18149884
9.698269401313573e-14,-0.1666881
8.015187231072583e-14,-0.16374063
6.068376758329135e-14,-0.17035596
5.086604137058755e-14,-0.17142837
5.1580445858670894e-14,-0.1690696
2.3112937075770885e-14,-0.17247654
8.475720966604975e-14,-0.18794473
1.0141149493305609e-13,-0.20214006
9.069094987886884e-14,-0.21095495
8.786288345827188e-14,-0.21598549
1.0247246535094247e-13,-0.21803209
1.331297423528834e-13,-0.21699533
1.3477073319649036e-13,-0.2092589
1.2995676042162968e-13,-0.20138884
1.1996657994391628e-13,-0.19299163
1.2084994395349456e-13,-0.18830258
1.3242329048622724e-13,-0.18684062
1.2551565653136255e-13,-0.18950617
1.1574299941003252e-13,-0.20541528
1.0457458378187432e-13,-0.21063964
1.144236018396919e-13,-0.2214382
1.2267776177155088e-13,-0.23569587
1.2133477463019138e-13,-0.24715732
1.3296717442067118e-13,-0.25013265
1.4025673821890587e-13,-0.2540797
1.382254425239612e-13,-0.25993803
1.4526250275244749e-13,-0.26460263
1.824158825344262e-13,-0.27006313
1.9214612661857408e-13,-0.2751483
1.3207958984555304e-13,-0.27493665
1.63540173836234e-13,-0.27044526
1.5985010542187382e-13,-0.26675552
1.6452893454754415e-13,-0.2667559
1.4865173806765345e-13,-0.2638093
1.4945686224690614e-13,-0.26002383
1.411596739192534e-13,-0.26142368
1.3791513759455295e-13,-0.26882353
1.4443025437192811e-13,-0.27792308
1.353061195133384e-13,-0.28744337
1.367708539370479e-13,-0.29048312
1.467600804663953e-13,-0.28425685
1.5395246929076753e-13,-0.2797573
1.7334274022025346e-13,-0.28280622
1.73849458001123e-13,-0.28495318
1.695563509740173e-13,-0.28474867
1.4579379930881588e-13,-0.28038087
1.4380919872990177e-13,-0.27868292
1.617884509398004e-13,-0.27788273
1.9336658514443542e-13,-0.2785922
1.8491784346005883e-13,-0.28137705
1.92803814501454e-13,-0.28388858
1.9904808956889766e-13,-0.285334
1.983237014190245e-13,-0.2868274
1.6784581520810894e-13,-0.2852454
1.5783907242786814e-13,-0.2852283
1.6321043238809164e-13,-0.28493536
1.6998627380363552e-13,-0.28842682
1.5904663844081636e-13,-0.29434395
1.6356768626040768e-13,-0.30276632
1.762778489898332e-13,-0.3080834
1.6924750631076446e-13,-0.3125378
1.8479184555076274e-13,-0.31449878
2.2097188267473337e-13,-0.31687066
2.2561953065779968e-13,-0.3152737
2.308716618877751e-13,-0.31353626
2.300656926416984e-13,-0.30917338
2.15837843040684e-13,-0.30540007
2.0511587551645904e-13,-0.30269226
2.0035644410572834e-13,-0.30376709
1.8799886504949243e-13,-0.30959603
1.901699237068847e-13,-0.31510565
2.04708994362793e-13,-0.3169543
2.32586205371424e-13,-0.31736457
2.0815469911633807e-13,-0.32116207
1.878510486688433e-13,-0.32102618
2.1864971709448118e-13,-0.3191163
2.381518846761277e-13,-0.3211054
2.37124976803736e-13,-0.3213814
2.2744118302387273e-13,-0.321839
2.3889233574449983e-13,-0.32732666
2.2534178782519906e-13,-0.33101782
2.1985183247157034e-13,-0.3303761
2.3705536639824363e-13,-0.3283591
2.612320809757065e-13,-0.3298646
2.4888082157674653e-13,-0.326523
2.59397596716504e-13,-0.31918648
2.767275778276422e-13,-0.31938195
2.628628526823567e-13,-0.32456982
3.1015135538137394e-13,-0.3240271
3.35570006494956e-13,-0.32353476
2.9921506293619276e-13,-0.32281032
2.978059530414849e-13,-0.32380116
3.4404592167521624e-13,-0.32368594
3.7574096957092276e-13,-0.32667524
3.2947212903827285e-13,-0.32952616
3.128303519725224e-13,-0.33036703
3.2005644577612763e-13,-0.33059284
3.1234958419095296e-13,-0.33330813
2.715400220653816e-13,-0.3368735
3.020459322562663e-13,-0.3424493
3.280765456232222e-13,-0.34811094
3.0830224533151576e-13,-0.34841654
3.0795341439978074e-13,-0.3502565
3.3555002177725024e-13,-0.3574889
3.679350477446183e-13,-0.36376646
3.9527402547496004e-13,-0.36297396
3.916280897428194e-13,-0.3590045
3.9385617200299233e-13,-0.357364
3.638261971774491e-13,-0.35562897
3.4982932486681175e-13,-0.35536078
