actual,predicted
0.0,-0.30601278
0.0,-0.3227831
0.0,-0.3353519
0.0,-0.35359976
0.0,-0.36683396
0.0,-0.37236965
0.0,-0.3958166
0.0,-0.41786167
0.0,-0.4260122
0.0,-0.3757944
0.0,-0.33770055
0.0,-0.30472404
1.613675051290196e-25,-0.27810112
-2.346349128356533e-24,-0.258545
1.33669865196528e-23,-0.2420719
-3.1091300434436105e-23,-0.23523535
-9.017981695782155e-24,-0.20932244
1.2021493746185188e-22,-0.22291932
1.720042806014503e-22,-0.24080995
9.496464129211529e-23,-0.22741668
2.7794456573094833e-23,-0.22138345
5.3079837643751876e-24,-0.21725105
5.775590957680974e-23,-0.22015683
-2.512648533431456e-22,-0.2278264
2.1165463537260408e-22,-0.22200474
7.958408831690069e-22,-0.2223036
1.0497498175733394e-21,-0.21091336
1.4371404505829263e-21,-0.19817519
9.654562785313253e-22,-0.20366527
5.915732967303394e-22,-0.21470158
2.597426828284546e-22,-0.2096551
8.297736647838362e-23,-0.20046799
5.112870546926854e-23,-0.21168138
1.1314760960428455e-22,-0.20950097
1.8183952350762072e-22,-0.19145873
8.649067551664949e-23,-0.19266745
-2.1414379155393552e-23,-0.19374745
-1.516750024194212e-23,-0.19250625
2.2694913520528135e-23,-0.20268469
8.940677739379401e-23,-0.19270355
3.742463255301619e-22,-0.20670956
9.670489359360462e-22,-0.20679504
1.4293838382471533e-21,-0.19962884
1.1309197334825431e-21,-0.21339796
7.378186283885298e-22,-0.2238631
4.971216491875128e-22,-0.21272518
2.139132729638369e-22,-0.21135081
1.8703602859834012e-22,-0.20992081
9.585911291362126e-24,-0.2169473
1.1549693908981663e-22,-0.22339904
2.4954775890603816e-22,-0.21318245
3.539020814846355e-22,-0.20834121
5.061150745636795e-22,-0.22064973
3.7765547558814833e-22,-0.21453047
2.2887634858679817e-22,-0.21432656
5.038349306433247e-23,-0.19693656
2.2438613004817127e-22,-0.2044634
2.865412894954397e-22,-0.20145516
3.7331962582303873e-22,-0.17783418
3.502917927721723e-22,-0.17994721
9.636472069416863e-23,-0.1749007
1.8176152355959626e-22,-0.173064
3.9470822684112926e-22,-0.16737539
3.7080179617098253e-22,-0.17602877
-5.40453747467809e-23,-0.16902521
2.3580964733015705e-22,-0.16975616
4.1578652997806623e-22,-0.16656537
3.425701886372356e-22,-0.17050885
5.368940818954722e-22,-0.17093848
3.9047840449687395e-22,-0.17813823
2.7483408826639616e-22,-0.17838366
1.594066409003979e-23,-0.1697842
7.91113833072875e-22,-0.17418052
8.717025137041685e-22,-0.18064366
1.2360880037463059e-21,-0.19091149
1.2231835586991514e-21,-0.17537542
1.3319601018056117e-21,-0.18160383
7.648179287278952e-22,-0.181221
1.039177250194209e-21,-0.17394811
1.1960331595352245e-21,-0.18777846
1.39127821411275e-21,-0.18273287
7.899171094450815e-22,-0.1800697
9.007089753233583e-22,-0.16808738
8.045190211691185e-22,-0.17163739
1.0015106060674186e-21,-0.1567994
7.05496844034668e-22,-0.15963241
5.671632182561275e-22,-0.15706474
1.800181975724698e-21,-0.1592726
2.3295116866314e-21,-0.14110418
3.1728073311541025e-21,-0.14487036
2.6765087840796302e-21,-0.14453705
3.7901227872896195e-21,-0.15424928
3.93084842737102e-21,-0.14077297
3.0713670672759715e-21,-0.14849915
3.0968078988717506e-21,-0.15352374
4.036403636335228e-21,-0.15516943
5.9357164814243864e-21,-0.14039424
5.904372759632405e-21,-0.13183568
5.840348742709705e-21,-0.14438544
5.299769047316904e-21,-0.11090467
7.182674864739914e-21,-0.20413013
6.86504358041013e-21,-0.15679704
