actual,predicted
0.0,0.14851463
0.0,0.1466106
0.0,0.1639977
0.0,0.20102793
0.0,0.20695911
0.0,0.2248407
0.0,0.24784291
0.0,0.2871296
0.0,0.18874203
0.0,0.23894107
4.062580991464736e-27,0.45176974
-4.598890936973255e-26,0.6325268
1.8655754930067294e-25,0.64510804
-2.210412981708018e-25,0.5201541
-4.263553958573575e-25,0.3643469
6.349687867974502e-25,0.23015216
1.6376977122862139e-24,0.15989718
1.3490511638585887e-24,0.1397277
6.27123629836435e-25,0.12112163
1.2020788921053708e-25,0.121691674
1.123997158223265e-24,0.15222979
-2.5176258502931912e-24,0.1779195
-5.255592960455164e-25,0.18228966
5.0894589741984124e-24,0.16994682
8.469109739592348e-24,0.15748309
1.412404404393352e-23,0.15158199
1.2101230614857722e-23,0.15076749
8.526230658551305e-24,0.18012615
4.612691543398906e-24,0.19351967
1.87356843757398e-24,0.1694713
5.69856066778528e-25,0.14132497
1.3668344001743752e-25,0.12575802
8.22345036707611e-26,0.11630608
2.6556592846989194e-25,0.12029196
7.66183315627621e-25,0.1241895
1.4761955303712326e-24,0.13019799
1.58455923432894e-24,0.12087269
2.923708840619831e-25,0.09993066
-4.078611453208822e-25,0.088960655
7.730818972410214e-26,0.09118596
6.825350076993327e-25,0.109457
3.380043592457921e-24,0.120347425
5.44761080602144e-24,0.15248284
1.284690677221992e-23,0.17644113
1.6888013422142683e-23,0.1930621
1.0365564016484066e-23,0.19381385
7.526964016199503e-24,0.22111177
1.68843013458109e-24,0.22669329
6.8617276269176125e-25,0.18830714
3.789406941623092e-24,0.14924921
3.86696154843077e-24,0.1442788
4.985431145927155e-24,0.14955002
3.2824142387982183e-24,0.14504611
9.262596320561047e-25,0.15111606
1.6870082341395325e-24,0.16233376
2.3770065276996083e-24,0.17336772
3.514304436353282e-24,0.18947767
4.184162588035325e-24,0.19912033
1.7456326414555537e-24,0.19967224
9.701693755744539e-25,0.17592101
1.6237533659814525e-24,0.14121556
1.713775554547655e-24,0.12170337
9.665312992246402e-25,0.12287751
1.897921660214936e-24,0.11949878
