actual,predicted
0.0,0.22241095
0.0,0.23213978
0.0,0.23182066
0.0,0.23088154
0.0,0.23355253
0.0,0.24202484
0.0,0.24647418
0.0,0.25536326
0.0,0.18134001
0.0,0.09887301
4.2644590279486275e-26,0.06328625
-8.57704133204886e-25,0.07819409
6.990888138094475e-24,0.12863278
-2.58013831580584e-23,0.18551074
1.7215855428786746e-23,0.24567305
1.1589722896992451e-22,0.2800005
1.1975603611691383e-22,0.2852494
4.5637372296893505e-23,0.21439444
8.95610680985585e-24,0.19368707
3.647105638509653e-24,0.18876404
1.808615954107171e-23,0.18974485
-1.67117467201772e-22,0.19198671
3.308928075213607e-22,0.1941966
7.134528208430825e-22,0.19535728
8.432555290755883e-22,0.19429207
1.047620154232404e-21,0.19843678
5.601418676213331e-22,0.19793521
3.37830964592055e-22,0.19825768
1.1825064332199863e-22,0.2035098
2.4942818824919628e-23,0.20487191
3.308853674933172e-24,0.20484461
2.7796750956194737e-25,0.20677656
1.5021620376231308e-25,0.2001685
1.6741900771104124e-24,0.19018102
1.2452701585710322e-23,0.18239513
5.625608632007063e-23,0.18014424
1.3592046480746367e-22,0.18827942
9.432405750764188e-23,0.19082609
5.672615367450936e-25,0.18724348
-1.522959215107941e-23,0.1876955
4.791879526921854e-24,0.18490063
4.9663969765582287e-23,0.17551024
4.0790944641448767e-23,0.17337918
7.071122434282762e-22,0.17015158
1.2316947107170855e-21,0.1696865
8.641710948274738e-22,0.17223522
8.547915387213324e-22,0.18306965
5.049185203337287e-22,0.19733064
2.13207427078985e-22,0.20431453
4.029379145416919e-22,0.2032601
3.1256023375395426e-22,0.2001794
2.42511261890496e-22,0.20395142
1.240030153351948e-22,0.1936613
3.5742195146399675e-23,0.18534899
2.1091508313066095e-22,0.18021584
2.2700898404734583e-22,0.19417284
2.797538565683905e-22,0.19985716
2.126467903472192e-22,0.20228891
1.4525741784273886e-23,0.21540418
9.057049455834732e-23,0.22673663
1.2731004393116558e-22,0.22898011
