actual,predicted
0.0,-0.039091866
0.0,-0.04290975
0.0,-0.04415676
0.0,-0.038420327
0.0,-0.03472783
0.0,-0.016697941
0.0,-0.0058062673
0.0,0.001956807
0.0,-0.041903406
0.0,0.018083654
0.0,0.11558676
0.0,0.16507502
0.0,0.14673136
-3.070447037829943e-20,0.086004764
5.805524125671917e-19,0.018975243
-4.8249223112817195e-18,-0.04323462
2.189318732972605e-17,-0.07223938
-4.97698310059682e-17,-0.0893058
9.482577957237524e-19,-0.097023085
2.186390962822259e-16,-0.08149566
2.8027923535959557e-16,-0.05840347
1.32983958738817e-16,-0.04188467
2.9677513549030326e-17,-0.03481539
-3.5503610672973715e-18,-0.036660355
9.891408694832524e-17,-0.03925937
-3.921360676002828e-16,-0.04146126
4.765930746661996e-16,-0.040748302
1.4405940859609218e-15,-0.02903878
1.7599844725363882e-15,-0.030107351
2.3347285532951566e-15,-0.048565667
1.4782184544953993e-15,-0.0629403
9.991929197473934e-16,-0.06573909
6.446412431066435e-16,-0.068164416
2.4809540219468935e-16,-0.05945389
-8.840004990193124e-18,-0.040320765
-2.024723273459623e-17,-0.021040095
2.6474036945871577e-17,-0.009231773
8.12948888863644e-17,-0.01056447
4.591265129735579e-16,-0.020617073
1.423904572961245e-15,-0.027157143
2.313906956068659e-15,-0.0379419
1.7947867343531174e-15,-0.048677336
1.5745156121043987e-15,-0.040186707
7.036182678006126e-16,-0.036879092
-8.69151264175019e-17,-0.03245423
3.2052314707286323e-16,-0.025797583
-4.0610364352061346e-16,-0.010135447
3.2164384425777974e-16,-0.008012367
4.5765311518678775e-16,-0.025630053
7.26641955102099e-17,-0.04229522
1.670869098706697e-16,-0.045309786
1.5985976431551968e-16,-0.043673903
4.542838828366492e-16,-0.05163744
5.997642106403568e-16,-0.04836036
8.267340945489706e-16,-0.044996653
5.707680399278357e-16,-0.033175003
3.321683821501502e-16,-0.03459665
6.837262763225149e-17,-0.044432044
4.147676985622407e-16,-0.051011663
5.919558336490068e-16,-0.069603726
9.591928283202625e-16,-0.08802113
9.927506773424583e-16,-0.098704964
-2.9134782305739594e-17,-0.100650705
4.322294673739645e-16,-0.110470645
8.279547677470872e-16,-0.112345375
7.52702858586596e-16,-0.114510074
7.961755935561512e-16,-0.11341075
6.06028822200745e-16,-0.1079725
4.293328073207855e-16,-0.10339165
7.81264045803695e-18,-0.10269161
4.3643449795140643e-16,-0.10153571
6.715173281281138e-16,-0.09985596
8.212667280430745e-16,-0.100104734
3.1419644835610154e-16,-0.10396883
1.2907774556260066e-15,-0.11284973
8.89329119831201e-16,-0.112896666
1.6158346367350714e-15,-0.109609984
1.993233720767094e-15,-0.10534683
1.868141570375534e-15,-0.10488452
1.1766053136535015e-15,-0.11574402
1.6102080316813442e-15,-0.116293564
1.7662788717467802e-15,-0.11109374
2.3059501259247445e-15,-0.09925043
1.353651091391929e-15,-0.09336993
1.6212856312163602e-15,-0.09037752
1.4899521603645812e-15,-0.09472111
2.361002945247494e-15,-0.0998426
2.256044081417897e-15,-0.1086953
2.302073935806957e-15,-0.10459382
4.2614569237308334e-15,-0.10360684
5.08722535513287e-15,-0.10432032
5.1589206805128934e-15,-0.107247934
4.124359452394333e-15,-0.10543206
6.443494135456797e-15,-0.1063644
6.489643923317952e-15,-0.109397374
5.0446371421631595e-15,-0.10417661
4.865119410117261e-15,-0.09628849
6.116079934170688e-15,-0.08709356
9.560995586198487e-15,-0.08880206
9.219755517015345e-15,-0.03489349
9.763937523468926e-15,-0.19542652
9.638176577686418e-15,-0.23840572
1.4062169161659326e-14,-0.19520971
1.3875137387967135e-14,-0.13285926
1.2818558950213619e-14,-0.07664041
1.3438914831517395e-14,-0.056784257
1.0511074863180616e-14,-0.054973733
1.496397685611535e-14,-0.05628466
1.4347962886026217e-14,-0.0543153
1.6206487636612832e-14,-0.045917433
1.7896570781650376e-14,-0.026259838
1.943270711675048e-14,-0.017203767
1.9029385573087413e-14,-0.016116029
1.9124128547272603e-14,-0.01981873
1.7275342947312348e-14,-0.02903133
1.5255499582807432e-14,-0.025916897
1.7848468048493062e-14,-0.025508631
1.5177815097511898e-14,-0.024530081
1.8712527719797268e-14,-0.025465596
2.130516583041758e-14,-0.029039754
1.8895545955046655e-14,-0.03156336
1.7743763507941472e-14,-0.03517864
1.1533932897571143e-14,-0.04206168
1.3298541192621905e-14,-0.0449106
1.3031945500172914e-14,-0.03972929
1.2334454480204951e-14,-0.03586278
1.3052829661965607e-14,-0.032401305
1.4718450375268157e-14,-0.03457279
1.5744376882276408e-14,-0.050084155
1.665812595143211e-14,-0.06163819
1.7121198581521027e-14,-0.06687178
1.6126038638005955e-14,-0.068583556
1.8308572999983318e-14,-0.07050284
9.639476339747943e-15,-0.06927249
9.734959263561674e-15,-0.06805839
1.0402460345678209e-14,-0.06789336
1.062756595537138e-14,-0.070378155
1.5986059992153982e-14,-0.07344691
1.6137891251354412e-14,-0.06978434
1.904984337718855e-14,-0.06387495
2.282252726537509e-14,-0.06244831
1.855552059183742e-14,-0.06475188
1.3020637795668727e-14,-0.067861006
1.2359132585137514e-14,-0.074667126
1.4664537300368216e-14,-0.07382316
1.5009264093640308e-14,-0.07199872
1.3731610206301423e-14,-0.07561282
1.5135908472690523e-14,-0.078863546
1.9226685235071905e-14,-0.080591805
1.704514462773178e-14,-0.087980725
2.0532440802544488e-14,-0.09318499
2.0374656932104332e-14,-0.10083226
2.445553590421532e-14,-0.10169917
2.1794394139373552e-14,-0.1017237
1.805798012529699e-14,-0.099251166
1.3318251005585272e-14,-0.09316708
1.4474197703596674e-14,-0.08998479
1.4589184236850545e-14,-0.085924305
1.2947717116581661e-14,-0.08348786
1.5009663417398903e-14,-0.08409183
1.9581191361144675e-14,-0.08184243
1.780323089602116e-14,-0.083117925
1.912785347839476e-14,-0.08524375
1.9674391321270825e-14,-0.089285284
2.0811491741160715e-14,-0.090853326
2.0883546221210164e-14,-0.092724316
1.7782343116044458e-14,-0.09467095
1.4073517547398546e-14,-0.08955469
1.4077318281525853e-14,-0.08228139
1.2477918698555444e-14,-0.07944094
1.223879502440024e-14,-0.07695315
1.419309745819222e-14,-0.08358475
1.5108037237199583e-14,-0.09016502
1.509452616846451e-14,-0.08942604
1.320505182724229e-14,-0.09082288
1.6321184304731207e-14,-0.096990734
1.4564736401498314e-14,-0.1004224
1.039385540527623e-14,-0.096473575
1.3330713701691439e-14,-0.09170638
1.0886316583523582e-14,-0.08587388
6.6864132841962445e-15,-0.096955694
9.325131567224698e-15,-0.10205627
1.0229766755163076e-14,-0.088541895
1.0936350734237348e-14,-0.07787609
9.229681967125761e-15,-0.078625955
9.529974195466334e-15,-0.081899546
6.072053147969647e-15,-0.09086332
1.202675349200803e-14,-0.10056238
8.830110648498543e-15,-0.10682946
6.972935174447267e-15,-0.10156114
7.782762999746002e-15,-0.096469484
9.623213995719926e-15,-0.090650216
5.600696998322356e-15,-0.08619242
2.7966684550523993e-15,-0.08528717
7.871967102095412e-15,-0.091045834
1.1403295531226058e-14,-0.09291262
8.33624237328584e-15,-0.09909435
8.95193155983649e-15,-0.09763905
7.725826573835747e-15,-0.09239011
8.179184429714287e-15,-0.09429558
6.517706536441342e-15,-0.103152774
5.284042093996139e-15,-0.101919584
3.904025970721798e-15,-0.09070107
1.0008858587431294e-14,-0.0898497
8.440688524776926e-15,-0.09020224
4.73786222926756e-15,-0.085047655
6.304172137085107e-15,-0.07906505
1.0313758539501502e-14,-0.07025866
9.533403526351832e-15,-0.067994736
6.7090742058899416e-15,-0.07293602
8.129965296722091e-15,-0.06889439
5.583747566687702e-15,-0.055311747
3.985815375848361e-15,-0.049900185
2.1213861037063437e-15,-0.05551475
3.684295230511055e-15,-0.060521446
8.127631749707312e-15,-0.06595718
8.623949289263213e-15,-0.07279191
6.986526700513473e-15,-0.07781906
5.166856006014624e-15,-0.084005594
7.97780112580871e-15,-0.09324715
8.543060396827853e-15,-0.09796804
6.775482541318533e-15,-0.09576952
6.729608676171675e-15,-0.08414304
6.450950895175979e-15,-0.07657257
4.970464198214845e-15,-0.07599345
3.836298638267478e-15,-0.07732352
5.886446802469038e-15,-0.07798238
6.184785745050984e-15,-0.07525892
7.355364851455489e-15,-0.08025594
4.863331720686551e-15,-0.08642164
3.4624081894071076e-15,-0.08440533
1.0928522235372212e-14,-0.08006822
8.447059344879596e-15,-0.074030355
1.020344400493394e-14,-0.068573885
1.1190021737521669e-14,-0.0658541
1.2280785154983405e-14,-0.06562696
1.0612812001845679e-14,-0.064309515
1.0652136106839554e-14,-0.06607563
1.0301910064094229e-14,-0.06700384
9.034629985261743e-15,-0.06174448
1.0675402661501678e-14,-0.06977056
1.0686031771197628e-14,-0.06331837
1.1356136744060816e-14,-0.059488937
1.1344114189431308e-14,-0.059408862
1.323782518815579e-14,-0.0605113
1.36262480497265e-14,-0.055340707
1.1650391258106635e-14,-0.052082956
1.5290273593175307e-14,-0.049854014
1.1443859027553798e-14,-0.04596525
1.2569759340466308e-14,-0.045197673
1.3054185288383544e-14,-0.045940675
1.6084973454504082e-14,-0.045732886
1.5155420005341535e-14,-0.043334145
1.3978990327588587e-14,-0.04163391
1.3153445663011575e-14,-0.0432075
1.3055754395463451e-14,-0.04491721
1.29687395623004e-14,-0.0439485
1.2391473541048863e-14,-0.04185758
