actual,predicted
0.0,19.868088
0.0,17.0655
0.0,7.360196
0.0,10.716712
0.0,10.97356
0.0,8.972847
0.0,15.32582
0.0,22.157621
0.0,12.388802
0.0,-1.3458252
0.0,0.5800009
0.0,15.928245
0.0,18.739092
0.0,10.755444
0.0,8.355832
0.0,6.7267656
0.0,9.339023
0.0,21.983599
0.0,26.795053
0.0,4.0143013
0.0,8.221507
0.0,18.614208
0.0,25.171457
0.0,19.627869
0.0,10.164177
26.4393015094101,9.969449
39.9853283827724,25.241089
19.0931202892679,40.380547
0.0,38.41878
0.0,20.46107
0.0,9.17809
0.0,18.847775
30.9468058956309,27.190195
224.069517552343,39.771473
259.127482935463,173.90509
264.757797774334,215.96771
235.997493691915,217.74773
62.9668013096561,193.03429
52.7899662871641,86.502525
0.0,73.81686
0.0,36.04921
0.0,30.292439
0.0,22.775602
0.0,21.473871
0.0,20.129227
0.0,16.738272
0.0,19.126081
0.0,26.789688
0.0,20.583916
0.0,16.658663
0.0,11.48479
0.0,17.431032
0.0,21.684479
0.0,19.220709
80.2565418743734,15.214669
22.2537911532454,56.077587
0.0,45.562145
45.3811879164905,30.349516
48.5355601621532,39.42332
96.557828432753,51.99065
94.0082096027591,76.73832
89.3536249220488,75.98151
30.3175022145333,69.770905
24.3423953077872,42.396175
33.5667323954403,34.296333
86.5938945996058,41.48905
67.2348319128105,73.49274
69.6989937243679,71.4372
24.7941478305038,65.374016
0.0,37.973858
42.8829073408742,25.37391
23.7835728777982,42.266678
0.0,39.735317
0.0,34.702526
16.1092698720058,18.178188
0.0,18.840265
0.0,20.469975
28.7274080556499,26.927769
18.1942002817996,31.009125
32.928356223234,30.38975
84.730737432209,33.237827
199.361770305001,59.440216
147.340744531036,141.62868
258.128411661102,119.39005
227.980486790498,198.92206
207.477654953412,192.06311
158.019732939277,172.92726
268.582339735999,143.45558
251.56260084566597,223.39185
239.310519461861,222.90121
101.898878564321,209.02615
218.237530648296,119.37879
162.180517061828,186.86145
182.415548053831,157.56293
116.82746641705799,166.52086
315.098475205999,122.000275
522.634424669715,261.49048
419.801336211964,453.96677
513.18715137882,381.50848
467.889640299663,400.60025
719.057570885715,428.7627
432.822620306418,628.09406
535.771538647985,412.16797
721.741870853515,502.15973
1023.8930113183,670.9619
1191.54929107992,936.08997
1073.98093819659,1096.3605
1128.44944397245,995.922
1219.72377682327,1071.7838
1489.02630868994,1198.2516
1216.83725970418,1476.0087
1187.44825879981,1223.1936
1051.06162560317,1163.0385
1104.91493569456,1048.7224
1713.63274796409,1091.58
1332.43057548139,1646.4928
1346.49484104746,1342.3496
1433.31341500952,1326.5807
1400.51991567352,1434.3815
1368.47266871107,1427.245
1127.7685120257,1375.2714
668.286643471848,1148.8285
874.258603976136,693.80225
1271.98717488192,848.6421
1203.94246778025,1164.4083
1641.27080943142,1187.6144
1203.60568657232,1544.6005
456.264595073326,1241.2172
518.798000496992,562.34863
