actual,predicted
0.0,-32.770626
0.0,-35.709347
0.0,-33.389355
0.0,-32.203407
0.0,-36.041927
0.0,-28.637636
0.0,-32.87585
0.0,-36.973206
0.0,-39.56712
0.0,-32.045246
0.0,-31.116182
0.0,-26.300863
0.0,-32.093243
0.0,-28.171608
0.0,-33.526703
0.0,-31.155722
0.0,-8.475909
0.0,-19.093752
0.0,-33.51513
0.0,-26.894617
1.1093413220732766,-16.148659
-1.0956472191925202,-17.695799
-4.009456007254606,-13.74464
0.7629706147316373,-13.9599
12.542901354786737,-11.000758
22.66817421709917,-8.825527
26.064784556128515,4.916901
22.545352456841734,6.8333
16.472135601920787,4.4047
-14.387730280580923,-17.143276
-20.49731176431809,-35.502544
15.759702600803633,-13.483207
81.75057743680514,29.494253
182.96751033450084,92.47346
253.44044144106996,245.08118
264.94212980634154,250.27214
205.49263170294603,183.81859
110.55210964603083,106.107025
44.26519245651124,29.595966
1.1725475270705505,13.610281
-7.730808606212738,-18.236874
2.066548169343633,-13.583358
-2.8954453597872303,-13.291879
2.2149636204406904,-17.105165
0.0,-31.402328
0.0,-3.246198
0.0,-9.6995735
0.0,-7.6198115
0.0,-7.698372
3.367407351372694,-10.174187
-7.484792875498264,-18.904505
-4.205095619207462,-17.22847
12.61006056742984,-15.482848
22.837993288571962,2.6365767
30.879415505254432,3.9740498
28.89892383819125,31.985676
28.569093572742517,-1.7746264
33.15764258805636,1.0430027
55.85085457354757,27.801699
90.08374389733078,64.97065
93.78846543564202,70.68746
68.53378214917082,56.91941
48.16708662002676,35.173737
32.47055754114922,10.974875
43.745795361087445,17.995472
65.29978664267867,37.192234
70.79349080022145,67.04807
55.52824573871465,37.225014
38.089492365688834,27.702719
23.438916273660038,10.723847
17.680999883786523,3.375354
14.479575483076262,11.6216955
16.432396171974514,5.710827
5.6232041664740215,-4.530214
-0.8793558243352303,-29.303577
7.5054164604455025,-2.112929
12.540668080455914,-7.207631
2.189926396176002,-6.004387
24.19988265363667,-8.7059965
51.397500739184785,41.15744
94.47628207783332,38.86528
148.1913695782014,95.447426
209.205384873609,164.41594
221.96133459219507,185.31891
214.18001093806492,176.57025
203.31473823871562,161.29552
232.68816199968805,168.246
221.91274301298142,212.49316
229.90933790302563,197.86356
212.83291505294184,194.11348
202.4013058655306,163.79071
164.34334708796914,144.87671
131.47252716824858,132.2704
161.83373133521752,87.29214
224.16608357199613,189.92651
314.8609292631008,223.32835
387.6128066240271,383.9831
484.4476368019509,390.03964
545.0789438676014,519.77655
534.3266107671498,529.2852
512.7242853474412,493.22894
523.7960727122762,509.76923
605.1087752838123,480.0575
767.5009348153739,769.87946
943.9706164414247,935.00073
1081.4821758668938,1112.6096
