actual,predicted
0.0,-5.316189
0.0,-5.0329823
0.0,-5.2535553
0.0,-4.72783
0.0,-5.596929
0.0,-4.890825
0.0,-4.3383446
0.0,-5.5645027
0.0,-21.565838
0.0,-23.255337
0.0,-10.540277
0.0,-12.957455
-1.2156000693981799,-13.704987
-2.5475059431385105,-14.080293
-2.1933680680966194,-13.971794
-0.6974171932053351,-11.936211
0.667471995584088,-5.5458856
1.9012994982717073,-4.2492027
3.004065314857408,-6.4088197
2.552927794967467,-5.5723934
-6.315625857010664,-5.4620457
-12.682010234147958,-16.678837
-14.865022936346149,-18.015343
-11.572755886686933,-17.268675
2.8711894591831935,-11.904648
17.302833224998594,5.3819046
33.389940466467245,17.833237
47.61318009777804,35.400406
59.97255211893104,47.679867
70.46805652992619,53.710545
79.09969333076353,60.2667
85.86746252144302,68.46637
90.7713641019647,72.276764
93.81139807232854,76.48824
94.98756443253458,83.16584
94.29986318258277,85.99371
91.74829432247316,87.76742
87.33285785220569,85.396965
81.05355377178043,78.22311
74.6730021818247,70.23687
67.91919147347775,58.98432
55.14782618908938,48.596066
43.97008515135076,30.572338
32.38602030777617,21.086472
16.8255541830232,7.1707764
0.09952098257999828,-7.2593017
-17.800971797973187,-19.036217
-22.205763250847795,-29.878687
-19.413503837759674,-25.33173
-7.996511045873112,-19.995073
6.5672679864729355,-3.6052384
13.566694315455102,10.3308
18.500729341979998,8.398908
22.69135164896844,13.039322
27.058745260144175,16.438044
33.724959864234116,22.347277
40.79830119411422,28.07539
44.654198137365725,34.034557
48.96392057273116,35.81714
53.51122721946318,39.705833
56.7105465523752,45.665367
57.82122248539789,48.67744
58.633173893198695,49.971165
58.07244945097723,48.124958
54.81824878835862,46.011086
51.2259911782635,40.94432
45.8881464801749,38.12286
37.35480816682832,32.613224
29.02965659149526,24.08757
23.20718916743945,15.448979
12.317154581282082,11.290644
8.784485037743051,-1.1894168
9.385932229632832,1.2905178
17.841434675144352,3.6084442
23.298369871218654,11.525025
33.44946665084142,14.269672
43.753056089116726,25.727379
61.705777573424534,36.398964
73.56876435387427,59.635437
92.50327684157061,61.888756
109.99735835262959,87.21149
131.29338206792622,103.46003
139.72372202839455,130.34181
138.9312993332238,128.0563
150.6776510475142,125.970665
159.99106759094516,149.94469
173.72242915867395,153.82968
177.68037620512078,169.90314
201.74161243360987,166.66446
219.63727564264923,210.44934
229.5998172333184,216.49814
230.94429562180767,219.02875
232.55761323612492,215.9845
250.69061403335886,218.18948
276.1816854444262,249.26178
312.1263214201045,276.5588
341.92551798972835,323.59915
403.7686090000278,348.88034
472.28804319036516,447.27213
550.3440109756903,535.21967
622.7206710227496,620.4707
673.2148056675057,669.4133
751.5015149166209,722.0481
829.8298963668746,825.157
894.8516129671523,899.702
965.8955214278964,950.27423
1031.3508602919446,1030.8909
1102.2256166271766,1082.4744
1176.8467479751564,1157.8212
1230.5006176418544,1247.2979
1262.4951897100234,1284.2313
1284.9283392224472,1291.3943
1282.908632421983,1309.3447
1296.6715278566726,1290.4823
1349.0994993459724,1318.8246
1357.2671753421641,1423.8855
1359.4316753734997,1394.9851
1335.531452223249,1372.4332
1306.0301497711687,1331.2784
1261.5451380327604,1287.727
1181.592472173472,1229.4608
1097.8070746720023,1117.763
1044.6630501274672,1021.5596
1022.6809630122809,995.01404
978.0510899225395,1004.53345
934.3197960422731,942.4776
874.9009517423991,900.2142
834.4313595592539,827.18616
814.7516728380681,790.6206
792.0151545042964,791.3488
759.9764995684945,763.1371
751.9842379952858,726.28705
771.7929292282906,742.53595
797.3702660319851,791.856
827.3148477602911,827.51263
865.007344965131,864.354
912.9810898213664,908.103
976.9629567793886,964.2725
1030.3607745382508,1046.6271
1122.6684996501594,1090.4099
1199.8282021806942,1216.2555
1215.7959855966033,1284.3975
1239.3103999944112,1240.6312
1233.9898214901673,1262.7205
1200.2907957322534,1242.5325
1152.161880454694,1178.2633
1117.1678282335909,1115.7919
1143.1506147229181,1095.3102
1175.2976381462115,1179.6102
1206.3944057391827,1221.6846
1209.4105439299608,1242.9968
1217.9199172285353,1221.2823
1207.7791978782102,1230.8569
1175.7524771068604,1206.6252
1134.1872023360838,1153.3384
1123.3830925643126,1105.3447
1094.2329761740775,1120.281
1127.4528539876633,1078.6617
1152.1747027615356,1166.668
1168.7253661222549,1196.6785
1213.7747484662011,1195.0653
1263.625027633228,1261.2682
1276.8274355496974,1325.5459
1267.7333130361565,1302.8553
1259.3992566959173,1266.612
1240.1160347138332,1260.3915
1229.5193504790554,1234.87
1187.128096130259,1232.2928
1144.736496418817,1164.227
1084.5031968133103,1112.2161
1034.3945611373144,1038.8503
1001.5175908711639,984.8589
987.4553685969214,970.07526
985.0122468438925,975.70374
953.7822249197493,982.6463
902.8776279140473,928.32336
839.5114806795499,857.9238
774.7833290002577,784.6081
709.4052827629386,712.69653
646.268265177645,647.23535
624.3738075239525,579.9025
597.4986296060448,596.66345
588.1084105388964,567.4442
581.9408605738007,576.0827
545.1939047340043,573.64984
546.22649486156,512.03143
571.3935510080025,545.94745
569.3428861484482,587.5039
538.2536247107139,554.45026
527.4438852372627,505.35904
528.4702639234454,515.77515
518.9653055529704,520.4
527.0366203258093,499.924
512.3353651250784,527.3402
517.0248873775477,487.1724
531.3428732881066,511.69327
538.2780387031298,532.2636
512.709289542095,534.36285
502.01782190771064,483.011
494.8347221118342,484.9346
472.1696683250863,471.71152
446.86128208900755,435.0521
454.5022829316658,417.02133
456.8784006908904,451.82587
474.5939247712005,444.8685
494.10354691157085,482.069
504.10868191373146,504.19745
499.6003481013038,503.29333
484.5951721812175,486.31174
454.3868461928283,461.3282
464.4236114628815,418.02692
477.76904030762626,467.64017
465.1694551573926,476.1403
423.40026360780774,439.13467
397.8327539800138,381.72858
